Wavelength,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1024.6,7.43E-08,5.30525E-08,6.18906E-08,6.28691E-08,7.31528E-08,6.60581E-08,5.45629E-08,8.1054E-08,5.24463E-08,5.99844E-08,6.19619E-08,5.90331E-08,5.43425E-08,4.56093E-08,6.24145E-08,4.05421E-08,6.19381E-08,4.53098E-08,5.16299E-08,5.9496E-08,6.37359E-08,5.61425E-08,4.939E-08,5.70664E-08,5.16085E-08,5.35751E-08,4.71226E-08,6.2989E-08,5.4961E-08,4.88074E-08,5.30959E-08
1025.7,9.51E-08,7.37705E-08,5.74605E-08,9.28692E-08,6.01192E-08,7.65992E-08,7.90991E-08,8.99168E-08,5.78064E-08,6.00774E-08,7.0759E-08,7.21471E-08,8.26188E-08,6.57906E-08,7.20524E-08,6.71333E-08,7.22893E-08,6.57684E-08,5.66721E-08,8.06526E-08,7.67971E-08,7.76921E-08,6.71558E-08,5.94731E-08,5.34139E-08,8.46729E-08,6.02448E-08,7.17452E-08,6.57239E-08,6.416E-08,4.93869E-08
1026.8,7.56E-08,8.8496E-08,7.44104E-08,6.63904E-08,6.67322E-08,7.37485E-08,8.2551E-08,7.80112E-08,8.46072E-08,7.06894E-08,6.86682E-08,4.63442E-08,6.46544E-08,6.00306E-08,8.3668E-08,6.31906E-08,6.18791E-08,5.1588E-08,7.76559E-08,6.63677E-08,7.0476E-08,5.80307E-08,6.76725E-08,6.80418E-08,6.03504E-08,7.59461E-08,6.50126E-08,5.97756E-08,6.02863E-08,7.00034E-08,5.35443E-08
1027.9,7.73E-08,7.8264E-08,7.34365E-08,7.39382E-08,8.34211E-08,5.65426E-08,7.07553E-08,9.414E-08,7.36512E-08,7.80149E-08,6.21608E-08,6.84379E-08,7.10808E-08,8.04303E-08,7.90399E-08,8.25621E-08,7.41539E-08,6.34437E-08,6.3832E-08,6.82114E-08,7.74688E-08,7.52878E-08,7.41539E-08,6.4788E-08,6.15049E-08,7.68516E-08,6.02071E-08,6.13996E-08,7.27715E-08,8.72737E-08,5.06883E-08
1029,8.54E-08,5.53677E-08,6.12485E-08,8.12981E-08,7.88261E-08,7.48841E-08,8.67066E-08,8.66799E-08,8.37223E-08,8.62793E-08,8.4507E-08,8.38266E-08,6.84573E-08,7.03013E-08,7.24143E-08,6.91589E-08,8.00299E-08,5.61529E-08,6.23415E-08,7.30263E-08,6.698E-08,6.51102E-08,7.2063E-08,6.45456E-08,5.87756E-08,8.0967E-08,6.96371E-08,7.06927E-08,7.16197E-08,7.0003E-08,6.95915E-08
1030.1,7.57E-08,6.62709E-08,5.93323E-08,9.16932E-08,7.71942E-08,8.28332E-08,8.42023E-08,9.44028E-08,7.00076E-08,7.493E-08,7.4857E-08,8.40964E-08,8.23892E-08,6.13899E-08,5.77479E-08,8.90423E-08,6.92213E-08,7.51738E-08,7.19768E-08,8.40964E-08,6.71919E-08,5.90008E-08,6.71017E-08,5.91664E-08,7.28087E-08,6.66742E-08,5.99573E-08,7.93038E-08,7.22613E-08,6.62486E-08,5.86087E-08
1031.2,8.23E-08,8.70327E-08,8.57E-08,7.59667E-08,7.64412E-08,7.00821E-08,7.97265E-08,1.03782E-07,7.15889E-08,8.2008E-08,7.6727E-08,6.97257E-08,8.32176E-08,6.94371E-08,8.78484E-08,7.71092E-08,5.90269E-08,7.04622E-08,6.93485E-08,7.99968E-08,8.43895E-08,7.24996E-08,7.87496E-08,8.77164E-08,7.83371E-08,6.55285E-08,6.31149E-08,6.93928E-08,5.93438E-08,7.53531E-08,5.67831E-08
1032.3,9.35E-08,9.50109E-08,8.16109E-08,9.84077E-08,7.82385E-08,6.51533E-08,5.82764E-08,8.21746E-08,7.20312E-08,7.73501E-08,8.5485E-08,7.37266E-08,7.40357E-08,8.78363E-08,7.47765E-08,8.55379E-08,7.73501E-08,5.19747E-08,7.75468E-08,7.85114E-08,7.76947E-08,6.79587E-08,7.97859E-08,8.71903E-08,7.12635E-08,8.14321E-08,7.12635E-08,7.87352E-08,8.70561E-08,7.36316E-08,6.8273E-08
1033.4,1.08E-07,9.82765E-08,7.71354E-08,8.80247E-08,8.26802E-08,7.76033E-08,8.23963E-08,1.04055E-07,7.689E-08,8.19588E-08,9.22976E-08,8.34843E-08,8.37189E-08,9.57697E-08,9.02386E-08,7.84705E-08,7.95205E-08,5.95928E-08,7.12126E-08,9.07916E-08,8.23189E-08,7.81228E-08,6.98527E-08,7.57683E-08,7.15381E-08,7.37742E-08,8.76192E-08,8.48198E-08,8.50571E-08,7.84954E-08,5.97367E-08
1034.5,9.07E-08,8.94099E-08,9.62845E-08,1.01454E-07,8.98064E-08,8.49344E-08,9.35466E-08,1.07698E-07,7.51287E-08,8.12201E-08,8.26508E-08,7.69468E-08,7.41403E-08,9.13794E-08,8.28248E-08,9.27021E-08,8.74996E-08,9.03638E-08,8.62866E-08,8.87783E-08,7.69233E-08,8.57744E-08,9.46177E-08,8.74477E-08,9.8429E-08,9.27836E-08,8.43023E-08,8.44537E-08,8.14163E-08,8.17359E-08,7.44381E-08
1035.6,9.66E-08,8.30681E-08,9.71096E-08,1.06058E-07,9.26953E-08,9.80929E-08,1.0434E-07,1.03096E-07,8.11162E-08,7.59654E-08,8.78217E-08,7.83381E-08,8.63114E-08,8.66014E-08,8.46651E-08,9.75714E-08,7.72419E-08,8.57862E-08,8.76351E-08,1.04401E-07,7.29923E-08,9.32524E-08,9.71384E-08,8.18979E-08,9.88501E-08,1.04676E-07,7.13089E-08,1.0103E-07,7.99914E-08,9.14511E-08,9.82672E-08
1036.7,1.00E-07,1.0525E-07,9.26002E-08,9.10038E-08,1.04104E-07,8.68746E-08,8.94282E-08,9.35625E-08,8.74943E-08,8.45073E-08,8.46653E-08,8.22395E-08,1.01841E-07,9.36193E-08,9.05594E-08,8.87437E-08,8.16476E-08,7.89095E-08,9.15616E-08,8.33808E-08,8.63919E-08,9.96758E-08,8.80359E-08,9.15336E-08,9.71657E-08,9.69904E-08,8.41918E-08,8.79816E-08,9.78989E-08,8.5459E-08,9.48477E-08
1037.8,1.02E-07,9.42497E-08,9.92126E-08,1.09783E-07,9.44748E-08,9.31858E-08,9.79895E-08,1.02984E-07,1.06743E-07,9.24632E-08,9.43341E-08,8.35298E-08,1.11699E-07,1.02743E-07,9.97111E-08,9.58346E-08,9.9008E-08,7.95002E-08,8.7206E-08,1.10164E-07,7.99958E-08,1.07364E-07,9.83959E-08,9.42497E-08,1.03165E-07,1.01635E-07,9.21864E-08,9.7008E-08,8.74447E-08,9.44467E-08,8.20012E-08
1038.9,1.24E-07,1.19357E-07,9.29561E-08,1.15772E-07,1.07801E-07,9.17505E-08,1.08899E-07,1.12402E-07,1.04742E-07,9.40654E-08,1.07075E-07,9.97148E-08,1.08044E-07,9.0452E-08,1.00086E-07,9.26065E-08,9.87783E-08,1.00057E-07,1.15868E-07,9.16973E-08,1.03738E-07,8.98737E-08,1.02189E-07,1.04328E-07,1.08501E-07,1.14395E-07,1.05724E-07,9.80455E-08,1.06774E-07,9.79893E-08,1.00744E-07
1040,1.17E-07,1.21713E-07,1.10284E-07,1.24967E-07,1.0454E-07,1.21044E-07,1.18169E-07,1.11869E-07,1.15159E-07,1.06867E-07,1.01039E-07,1.01126E-07,1.03538E-07,1.07865E-07,1.06717E-07,1.1794E-07,9.04667E-08,1.11712E-07,1.00408E-07,1.0081E-07,1.0395E-07,9.90418E-08,1.16059E-07,9.4404E-08,1.14903E-07,1.05103E-07,1.06567E-07,1.09421E-07,1.15608E-07,9.87873E-08,9.81393E-08
1041.1,1.35E-07,1.19035E-07,1.06866E-07,1.21894E-07,1.16866E-07,1.12413E-07,1.20068E-07,1.2173E-07,1.19003E-07,1.06368E-07,1.1272E-07,1.14108E-07,1.05872E-07,1.22947E-07,1.1352E-07,1.08967E-07,1.01297E-07,1.06368E-07,1.09895E-07,1.22848E-07,1.13768E-07,1.07248E-07,1.20652E-07,1.15825E-07,1.12016E-07,1.11315E-07,1.07779E-07,1.06837E-07,1.08075E-07,1.14295E-07,1.05378E-07
1042.2,1.24E-07,1.24761E-07,1.19154E-07,1.26612E-07,1.04255E-07,1.2211E-07,1.24661E-07,1.29175E-07,1.10435E-07,1.21979E-07,1.06779E-07,1.09594E-07,1.21815E-07,1.31396E-07,1.15598E-07,1.08579E-07,1.02487E-07,9.68172E-08,1.16636E-07,1.04975E-07,1.13762E-07,9.98539E-08,1.0512E-07,1.06136E-07,1.13515E-07,1.27325E-07,1.0277E-07,1.38298E-07,1.04112E-07,1.0672E-07,1.02119E-07
1043.3,1.26E-07,1.21432E-07,1.20402E-07,1.34779E-07,1.17681E-07,1.23513E-07,1.27177E-07,1.36795E-07,1.12862E-07,1.07212E-07,1.15586E-07,1.10499E-07,1.22033E-07,1.16452E-07,1.12736E-07,1.31287E-07,9.54228E-08,1.14693E-07,1.07996E-07,1.14852E-07,1.22637E-07,1.17551E-07,1.1121E-07,1.17357E-07,1.18267E-07,1.25317E-07,1.0342E-07,1.10314E-07,1.15203E-07,1.14788E-07,1.10777E-07
1044.4,1.26E-07,1.31366E-07,1.24465E-07,1.21804E-07,1.11124E-07,1.27244E-07,1.29434E-07,1.29256E-07,1.29576E-07,1.1607E-07,1.1028E-07,1.14809E-07,1.16363E-07,1.0717E-07,1.22346E-07,1.11438E-07,1.08824E-07,1.07352E-07,1.21635E-07,1.22278E-07,9.92589E-08,1.12194E-07,1.19324E-07,1.27877E-07,1.05928E-07,1.14648E-07,1.18165E-07,1.22754E-07,1.02682E-07,1.15293E-07,1.087E-07
1045.5,1.28E-07,1.25092E-07,1.23916E-07,1.2951E-07,1.31222E-07,1.26686E-07,1.29788E-07,1.35499E-07,1.25126E-07,1.16991E-07,1.2892E-07,1.24385E-07,1.25058E-07,1.17983E-07,1.22385E-07,1.15061E-07,1.13809E-07,1.35969E-07,1.25565E-07,1.26176E-07,1.2179E-07,1.21889E-07,1.36296E-07,1.19695E-07,1.15312E-07,1.40267E-07,1.11617E-07,1.23649E-07,1.13188E-07,1.25633E-07,1.07248E-07
