,Wavelength,Intensity,Intensity_1425,Intensity_1285,Intensity_830,Intensity_940,Intensity_1150,Intensity_1535
213,1176,0.525928516,2.17489365113e-05,0.125992503604,1.4281745116e-87,8.56088580606e-09,0.40226026596,3.99863090131e-49
214,1178,0.533894453,2.57932556652e-05,0.134662651237,1.37926144975e-88,6.41313825687e-09,0.405120366437,1.33853494686e-48
215,1180,0.544769533,3.05478630707e-05,0.143757695731,1.31403283007e-89,4.79244700428e-09,0.407584964126,4.45114151482e-48
216,1182,0.556945841,3.61295075736e-05,0.153283896909,1.23498059018e-90,3.57255442077e-09,0.409646613774,1.47040300231e-47
217,1184,0.570556013,4.2672666779e-05,0.163246338989,1.14500753906e-91,2.65665527764e-09,0.411299064053,4.82530367937e-47
218,1186,0.582529971,5.03319853295e-05,0.173648827659,1.04725118045e-92,1.97072658073e-09,0.412537289135,1.57302712611e-46
219,1188,0.592458218,5.92850066776e-05,0.184493788273,9.44903959941e-94,1.45831842004e-09,0.413357514166,5.09414220365e-46
220,1190,0.601858323,6.97352271314e-05,0.195782165994,8.41044117649e-95,1.07649784859e-09,0.413757234434,1.63881227275e-45
221,1192,0.608603135,8.19155027923e-05,0.207513328737,7.38489261259e-96,7.92699873148e-10,0.413735228117,5.23733847712e-45
222,1194,0.61663073,9.60918418066e-05,0.21968497381,6.39681644996e-97,5.82289862012e-10,0.413291562501,1.66270563273e-44
223,1196,0.623398791,0.000112567616095,0.232293039172,5.46610402241e-98,4.26682161735e-10,0.412427593641,5.24376698619e-44
224,1198,0.630642326,0.000131688228358,0.245331620218,4.60772120078e-99,3.11892234825e-10,0.411145959454,1.64283782321e-43
225,1200,0.637304292,0.00015384627168,0.258792893052,3.83167612223e-100,2.27425655692e-10,0.409450566298,5.11292347115e-43
226,1202,0.646638779,0.000179487220343,0.272667045171,3.14329896819e-101,1.65428056069e-10,0.407346569139,1.58076453138e-42
227,1204,0.651825806,0.000209115691591,0.286942214486,2.54376440232e-102,1.20036602585e-10,0.404840345431,4.8549902761e-42
228,1206,0.658718131,0.000243302318879,0.301604437588,2.03077766879e-103,8.6886647682e-11,0.401939462915,1.48126525896e-41
229,1208,0.667564298,0.000282691277601,0.316637608135,1.59934505112e-104,6.27374995081e-11,0.398652641548,4.48952713804e-41
230,1210,0.674258577,0.000328008504363,0.332023446195,1.24255682944e-105,4.51893596173e-11,0.394989709832,1.35173530259e-40
231,1212,0.679155851,0.000380070650452,0.347741479321,9.52323823167e-107,3.24698278667e-11,0.390961555862,4.04302104956e-40
232,1214,0.686417198,0.0004397948092,0.363769036098,7.20024600416e-108,2.32733340605e-11,0.386580073417,1.20127832173e-39
233,1216,0.693583178,0.000508209055337,0.380081252796,5.37037137194e-109,1.66407171228e-11,0.381858103479,3.5457210727e-39
234,1218,0.698752173,0.000586463832179,0.396651093717,3.951441907e-110,1.18691683669e-11,0.376809371577,1.03965390273e-38
235,1220,0.704578118,0.0006758442194,0.413449385704,2.8681455184e-111,8.44507207712e-12,0.371448421389,3.02828188824e-38
236,1222,0.711331245,0.000777783110223,0.430444867208,2.0537191871e-112,5.99406224203e-12,0.36579054504,8.76248123997e-38
237,1224,0.717381381,0.000893875321984,0.447604252169,1.45069207092e-113,4.24398610946e-12,0.359851710575,2.51872756086e-37
238,1226,0.720595156,0.00102589265809,0.4648923089,1.01088956192e-114,2.99751577227e-12,0.353648487083,7.19214738859e-37
239,1228,0.72513173,0.00117579993241,0.482271953982,6.9490667795e-116,2.1119509027e-12,0.347197967957,2.04013663391e-36
240,1230,0.728846624,0.00134577195884,0.499704361113,4.71241528884e-117,1.48436592548e-12,0.340517692795,5.74887970426e-36
241,1232,0.733608353,0.00153821149947,0.51714908467,3.15249876849e-118,1.04071772785e-12,0.333625568424,1.60927579443e-35
242,1234,0.736886668,0.00175576815377,0.534564197649,2.08046585743e-119,7.2787993295e-13,0.326539789563,4.47508231365e-35
243,1236,0.743886938,0.00200135815925,0.551906443492,1.35444245563e-120,5.07833513581e-13,0.319278759586,1.23621744605e-34
244,1238,0.749265287,0.00227818506046,0.569131401182,8.69870939222e-122,3.53441699863e-13,0.311861011891,3.39243862782e-34
245,1240,0.755025137,0.00258976118793,0.586193662849,5.51116462197e-123,2.45385577872e-13,0.304305132304,9.24809797782e-34
246,1242,0.759266362,0.00293992987267,0.603047023004,3.44450043357e-124,1.6994762465e-13,0.296629683,2.50447174192e-33
247,1244,0.763728555,0.00333288830354,0.619644678392,2.12375004835e-125,1.17412944954e-13,0.288853128339,6.73756767968e-33
248,1246,0.76626186,0.00377321091571,0.635939437317,1.2917392557e-126,8.09192187584e-14,0.280993763023,1.80058420775e-32
249,1248,0.771482149,0.004265873178,0.651883937216,7.75069437529e-128,5.56316830296e-14,0.273069642965,4.78021052737e-32
250,1250,0.77767547,0.00481627562464,0.667430869107,4.5877597256e-129,3.81528982449e-14,0.265098519193,1.26067721128e-31
251,1252,0.782128652,0.00543026795446,0.68253320748,2.67889082655e-130,2.61016335005e-14,0.257097775121,3.30281365819e-31
252,1254,0.78642037,0.00611417299633,0.697144444097,1.54313408348e-131,1.78132292885e-14,0.249084367465,8.59582435344e-31
253,1256,0.792661567,0.006874810315,0.7112188241,8.76893014613e-133,1.21269740025e-14,0.241074771049,2.22235934892e-30
254,1258,0.795874533,0.00771951920617,0.724711582776,4.91568285063e-134,8.23563428038e-15,0.233084927727,5.70774191351e-30
255,1260,0.798549504,0.00865618080419,0.737579181279,2.71841274943e-135,5.57925840669e-15,0.22513019959,1.45625577827e-29
256,1262,0.802267448,0.00969323899986,0.749779539578,1.4830003022e-136,3.77042857351e-15,0.217225326601,3.69091706715e-29
257,1264,0.807797886,0.0108397198409,0.761272264907,7.98107475747e-138,2.54179064628e-15,0.209384388776,9.29296290262e-29
258,1266,0.812916335,0.0121052490625,0.772018873986,4.23716929227e-139,1.70932110166e-15,0.201620772975,2.32432798479e-28
259,1268,0.818026587,0.0135000673727,0.781983007294,2.21913923385e-140,1.14668029268e-15,0.193947144341,5.77515852605e-28
260,1270,0.823508386,0.015035043094,0.791130633749,1.1465357088e-141,7.67354175878e-16,0.186375422393,1.42545561797e-27
261,1272,0.830273168,0.0167216817444,0.799430244169,5.84365969815e-143,5.12252622875e-16,0.178916761744,3.49515774354e-27
262,1274,0.837145793,0.0185721321214,0.80685303198,2.93816747613e-144,3.41120122056e-16,0.171581537381,8.51340224149e-27
263,1276,0.841293233,0.0205991884405,0.813373059724,1.4573453348e-145,2.26602816605e-16,0.164379334423,2.05997911313e-26
264,1278,0.845691006,0.0228162880655,0.818967410023,7.13087299053e-147,1.50161323245e-16,0.157318942229,4.95160247763e-26
265,1280,0.84853067,0.0252375043649,0.823616319759,3.44205040251e-148,9.92626093318e-17,0.150408352724,1.18236623056e-25
266,1282,0.850972898,0.027877534223,0.827303296386,1.63902677372e-149,6.54557955645e-17,0.14365476277,2.80466861312e-25
267,1284,0.851991116,0.0307516797383,0.830015215399,7.69926323787e-151,4.30571561251e-17,0.137064580396,6.60897916131e-25
268,1286,0.853653142,0.0338758236518,0.831742398172,3.56784999708e-152,2.82538344103e-17,0.130643434675,1.54707191372e-24
269,1288,0.857608273,0.0372663980599,0.832478669502,1.63101630957e-153,1.84945712161e-17,0.124396189041,3.59757546118e-24
270,1290,0.859899485,0.0409403459903,0.832221394395,7.35536652228e-155,1.20766354316e-17,0.118326957784,8.31060448263e-24
271,1292,0.861799377,0.0449150754449,0.830971493772,3.2722361017e-156,7.86651658911e-18,0.1124391255,1.90712257363e-23
272,1294,0.865601317,0.0492084055537,0.828733438982,1.43608201389e-157,5.11156381787e-18,0.106735369226,4.3475830877e-23
273,1296,0.869780658,0.0538385045221,0.82551522515,6.21739059972e-159,3.31329366019e-18,0.101217682994,9.84556096612e-23
274,1298,0.871828152,0.0588238191092,0.821328323594,2.65540861332e-160,2.14240162634e-18,0.0958874045541,2.21491126553e-22
275,1300,0.874564791,0.0641829954325,0.816187613705,1.11879074522e-161,1.38190015928e-18,0.0907452439717,4.94988933527e-22
