,Wavelength,Intensity,Intensity_1416,Intensity_1320,Intensity_1200,Intensity_1655,Intensity_1535
70,1070,2.07091e-07,4.71472224444e-19,2.35151129938e-16,2.46823979347e-07,0.0,3.93308242235e-190
71,1071,2.19292e-07,5.59257510935e-19,2.80287868101e-16,2.49653476304e-07,0.0,2.39269360211e-189
72,1072,2.22445e-07,6.63057288814e-19,3.33855206721e-16,2.52495827082e-07,0.0,1.44996669174e-188
73,1073,2.31267e-07,7.85730834649e-19,3.97382401835e-16,2.55350734668e-07,0.0,8.75277692803e-188
74,1074,2.31924e-07,9.3063644222e-19,4.72667487269e-16,2.58217895742e-07,0.0,5.2632087028e-187
75,1075,2.54506e-07,1.10171643483e-18,5.61822920476e-16,2.610970007e-07,0.0,3.15262430661e-186
76,1076,2.62147e-07,1.30359629176e-18,6.67328693674e-16,2.63987733678e-07,0.0,1.88109506736e-185
77,1077,2.65203e-07,1.54170016823e-18,7.92094081165e-16,2.66889772584e-07,0.0,1.11806271897e-184
78,1078,2.53388e-07,1.82238544559e-18,9.39529368906e-16,2.69802789127e-07,0.0,6.61970270107e-184
79,1079,2.64264e-07,2.15309935982e-18,1.11362911241e-15,2.72726448852e-07,0.0,3.90416083765e-183
80,1080,2.94032e-07,2.54256123024e-18,1.31906869716e-15,2.75660411177e-07,0.0,2.29368520476e-182
81,1081,2.70453e-07,3.00097435496e-18,1.56131623571e-15,2.78604329434e-07,0.0,1.34232235359e-181
82,1082,2.79407e-07,3.54027226618e-18,1.84676213148e-15,2.8155785091e-07,0.0,7.82522310725e-181
83,1083,3.07526e-07,4.17440475794e-18,2.18286897595e-15,2.84520616894e-07,0.0,4.54415913405e-180
84,1084,2.99659e-07,4.91966992519e-18,2.57834482823e-15,2.87492262723e-07,0.0,2.62861651192e-179
85,1085,3.00212e-07,5.79509940136e-18,3.04334336003e-15,2.90472417834e-07,0.0,1.51466931875e-178
86,1086,3.06627e-07,6.82290506899e-18,3.58969484135e-15,2.9346070582e-07,0.0,8.69411383055e-178
87,1087,2.86481e-07,8.02899676385e-18,4.23117249959e-15,2.96456744485e-07,0.0,4.97106809812e-177
88,1088,3.01487e-07,9.44358192098e-18,4.983799416e-15,2.99460145902e-07,0.0,2.83133332002e-176
89,1089,3.00295e-07,1.11018597445e-17,5.86620183638e-15,3.02470516479e-07,0.0,1.60638331319e-175
90,1090,3.08112e-07,1.3044824352e-17,6.90001557917e-15,3.05487457022e-07,0.0,9.07871253988e-175
91,1091,3.04723e-07,1.53201934828e-17,8.11035313258e-15,3.08510562803e-07,0.0,5.11112194924e-174
92,1092,3.1136e-07,1.79834817969e-17,9.52634005745e-15,3.11539423632e-07,0.0,2.86632293016e-173
93,1093,3.12506e-07,2.10992405854e-17,1.11817304658e-14,3.1457362393e-07,0.0,1.60121957104e-172
94,1094,3.11975e-07,2.47424888873e-17,1.31156126436e-14,3.17612742808e-07,0.0,8.91032527076e-172
95,1095,3.06155e-07,2.90003646406e-17,1.53732173424e-14,3.20656354141e-07,0.0,4.93916032557e-171
96,1096,3.1739e-07,3.39740286275e-17,1.80068429049e-14,3.23704026658e-07,0.0,2.72727910968e-170
97,1097,3.11308e-07,3.9780858682e-17,2.10769132197e-14,3.26755324019e-07,0.0,1.50010944352e-169
98,1098,3.04124e-07,4.65569769906e-17,2.46531865613e-14,3.29809804909e-07,0.0,8.21926912856e-169
99,1099,3.24805e-07,5.44601594102e-17,2.88161356675e-14,3.32867023125e-07,0.0,4.48601120404e-168
100,1100,3.18603e-07,6.36731826602e-17,3.36585219797e-14,3.35926527673e-07,0.0,2.43895846068e-167
101,1101,3.35544e-07,7.4407673121e-17,3.92871898401e-14,3.38987862858e-07,0.0,1.32088603989e-166
102,1102,3.24478e-07,8.69085299064e-17,4.58251096431e-14,3.4205056839e-07,0.0,7.12595694008e-166
103,1103,3.2793e-07,1.01459005026e-16,5.34137025019e-14,3.45114179481e-07,0.0,3.82946349633e-165
104,1104,3.43617e-07,1.18386534951e-16,6.22154829617e-14,3.4817822695e-07,0.0,2.04997975088e-164
105,1105,3.48108e-07,1.38069430932e-16,7.24170607026e-14,3.5124223733e-07,0.0,1.09314583722e-163
106,1106,3.46947e-07,1.6094455017e-16,8.42325470709e-14,3.54305732979e-07,0.0,5.80662174602e-163
107,1107,3.66073e-07,1.87516086663e-16,9.79074177131e-14,3.5736823219e-07,0.0,3.07245735719e-162
108,1108,3.75829e-07,2.1836563941e-16,1.13722888601e-13,3.60429249305e-07,0.0,1.61944084479e-161
109,1109,3.83283e-07,2.54163737039e-16,1.32000869399e-13,3.63488294836e-07,0.0,8.50278524375e-161
110,1110,3.85526e-07,2.95683022007e-16,1.53109565474e-13,3.66544875581e-07,0.0,4.44707269249e-160
111,1111,3.86407e-07,3.43813324781e-16,1.77469807997e-13,3.69598494746e-07,0.0,2.31688321783e-159
112,1112,3.94987e-07,3.99578889069e-16,2.05562200491e-13,3.72648652072e-07,0.0,1.20240550493e-158
113,1113,3.96291e-07,4.64158043822e-16,2.3793518012e-13,3.75694843962e-07,0.0,6.21605237213e-158
114,1114,3.98348e-07,5.38905656705e-16,2.75214102773e-13,3.78736563608e-07,0.0,3.20107073298e-157
115,1115,4.08085e-07,6.25378747635e-16,3.18111472999e-13,3.81773301123e-07,0.0,1.64207418422e-156
116,1116,4.03676e-07,7.25365690379e-16,3.67438452854e-13,3.84804543676e-07,0.0,8.39087348487e-156
117,1117,3.94644e-07,8.40919485734e-16,4.24117798104e-13,3.87829775628e-07,0.0,4.27108750666e-155
118,1118,3.93856e-07,9.74395652197e-16,4.89198385862e-13,3.9084847867e-07,0.0,2.16564198625e-154
